Event,Date,Category,Severity,Country,Pre-Event Return (%),Event Day Return (%),Post-Event Return (%),Total Window Return (%),Window Max Drawdown (%)
Trump Election Victory,2024-11-05,trump_political,high,SPY,-1.894341651712761,1.2091723159443069,2.3775904553748783,1.6924211196064243,-2.2591819463956826
Trump Election Victory,2024-11-05,trump_political,high,France,-2.463699365836458,0.48075604702362273,-2.357868206197211,-4.3408115250100465,-3.9481989864061076
Trump Election Victory,2024-11-05,trump_political,high,Germany,-1.967338774066496,0.566225054441194,-0.9567659405232187,-2.357879660148521,-2.4028838643990063
Trump Election Victory,2024-11-05,trump_political,high,UK,-1.220198271642925,-0.144183825995714,-0.8854219285120313,-2.24980402615067,-2.3831851637051127
Trump Election Victory,2024-11-05,trump_political,high,Italy,-1.34865627271622,-0.1997626009669684,-3.298950593736927,-4.8473694674201155,-4.602172858935541
Trump Election Victory,2024-11-05,trump_political,high,Sweden,-1.9835932915820087,0.08358938872292665,-3.1272777872223045,-5.027281690081386,-4.542733801642361
Trump Election Victory,2024-11-05,trump_political,high,Spain,-0.8160417215209104,0.2888631783370954,-2.061475240789157,-2.5886537839729717,-3.9687987099620097
Trump Election Victory,2024-11-05,trump_political,high,Denmark,-0.4341131899504469,-1.518425467799711,-4.040701977407712,-5.99324063515787,-5.583365571596878
Trump Election Victory,2024-11-05,trump_political,high,Switzerland,-2.790476706352518,-0.25998839151379904,-2.7347900117750457,-5.785255109641363,-4.715466627803376
Trump Election Victory,2024-11-05,trump_political,high,Finland,-3.161744627432761,0.18479037576761836,-3.870413596640687,-6.847367848305829,-5.947193904835618
Trump Election Victory,2024-11-05,trump_political,high,Korea,-0.8689307818231073,-0.4669844775117893,-4.071472945497145,-5.407388204832041,-7.87364098841188
Trump Election Victory,2024-11-05,trump_political,high,Japan,-1.3958105262240283,1.1069275098698927,-0.09930854321245075,-0.38819155956658635,-3.2734506411539432
Trump Election Victory,2024-11-05,trump_political,high,China,-0.34594489370056714,2.319493269515571,-1.1428925774445093,0.8306557983704947,-4.100167012810254
Trump Election Victory,2024-11-05,trump_political,high,Hong Kong,-0.136128968791982,2.1366269822051365,-6.481767796706251,-4.481269783293096,-7.549002309978188
Trump Election Victory,2024-11-05,trump_political,high,Canada,-1.2568765214622135,0.5433717018504369,2.5363106267568325,1.822805807145056,-1.6550980954545436
Trump Election Victory,2024-11-05,trump_political,high,Australia,-0.6872532616464144,-0.4017378999146004,2.955013251198013,1.8660220896369983,-1.5829701184261482
Post-Election Rally,2024-11-06,trump_political,medium,SPY,-0.8470051778364684,2.4865656308564077,-0.07510357372843002,1.5644568792915092,-2.123474968683089
Post-Election Rally,2024-11-06,trump_political,medium,France,-1.3764798761978447,-0.5068081456083617,-2.282477680503825,-4.165765702310031,-3.107469736413357
Post-Election Rally,2024-11-06,trump_political,medium,Germany,-1.1269489013403633,-1.12669270661645,-0.12141817219322171,-2.375059780150035,-2.296374125314884
Post-Election Rally,2024-11-06,trump_political,medium,UK,-0.5678193488748429,-0.06974336913707635,-0.9873034802756808,-1.6248661982876,-1.9488219777532816
Post-Election Rally,2024-11-06,trump_political,medium,Italy,-1.2913935138476829,-1.5403805987468044,-2.049642763182169,-4.881416875776656,-4.208662190424932
